mal_id	title	season	genres	type	episodes	score	members	img	prequels_id	is_sequel
35760	Shingeki no Kyojin Season 3	Summer 2018	{'Action', 'Drama', 'Fantasy', 'Military', 'Mystery', 'Shounen', 'Super Power'}	TV	12	8.47	433114	https://cdn.myanimelist.net/images/anime/1173/92110.jpg	{25777}	False
2251	Baccano!	Summer 2007	{'Action', 'Comedy', 'Historical', 'Mystery', 'Supernatural'}	TV	13	8.46	537869	https://cdn.myanimelist.net/images/anime/3/14547.jpg	{}	False
22789	Barakamon	Summer 2014	{'Comedy', 'Slice of Life'}	TV	12	8.46	375924	https://cdn.myanimelist.net/images/anime/12/65427.jpg	{32648}	False
14397	Chihayafuru 2	Winter 2013	{'Drama', 'Game', 'Josei', 'School', 'Slice of Life', 'Sports'}	TV	25	8.46	129449	https://cdn.myanimelist.net/images/anime/6/47435.jpg	{10800}	False
35557	Houseki no Kuni	Fall 2017	{'Action', 'Drama', 'Fantasy', 'Mystery', 'Seinen'}	TV	12	8.46	185558	https://cdn.myanimelist.net/images/anime/3/88293.jpg	{}	False
16894	Kuroko no Basket 2nd Season	Fall 2013	{'Comedy', 'Sports', 'School', 'Shounen'}	TV	25	8.46	402991	https://cdn.myanimelist.net/images/anime/9/56155.jpg	{11771}	False
31181	Owarimonogatari	Fall 2015	{'Mystery', 'Comedy', 'Supernatural', 'Vampire'}	TV	12	8.46	234547	https://cdn.myanimelist.net/images/anime/8/76479.jpg	{28025}	False
31646	3-gatsu no Lion	Fall 2016	{'Drama', 'Game', 'Seinen', 'Slice of Life'}	TV	22	8.45	253206	https://cdn.myanimelist.net/images/anime/6/82898.jpg	{}	False
467	Ghost in the Shell: Stand Alone Complex	Fall 2002	{'Action', 'Military', 'Sci-Fi', 'Police', 'Mecha', 'Seinen'}	TV	26	8.45	276088	https://cdn.myanimelist.net/images/anime/11/50857.jpg	{}	False
7655	Major S6	Spring 2010	{'Comedy', 'Drama', 'Shounen', 'Sports'}	TV	25	8.45	37794	https://cdn.myanimelist.net/images/anime/2/75216.jpg	{5028}	False
9756	Mahou Shoujo Madoka★Magica	Winter 2011	{'Psychological', 'Drama', 'Magic', 'Thriller'}	TV	12	8.44	713792	https://cdn.myanimelist.net/images/anime/11/55225.jpg	{}	False
2246	Mononoke	Summer 2007	{'Mystery', 'Historical', 'Horror', 'Demons', 'Psychological', 'Supernatural', 'Fantasy', 'Seinen'}	TV	12	8.44	145310	https://cdn.myanimelist.net/images/anime/3/20713.jpg	{586}	False
13125	Shinsekai yori	Fall 2012	{'Sci-Fi', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama'}	TV	25	8.44	469453	https://cdn.myanimelist.net/images/anime/12/36775.jpg	{}	False
35788	Shokugeki no Souma: San no Sara	Fall 2017	{'Ecchi', 'School', 'Shounen'}	TV	12	8.44	343816	https://cdn.myanimelist.net/images/anime/3/88434.jpg	{34480}	False
13601	Psycho-Pass	Fall 2012	{'Action', 'Police', 'Psychological', 'Sci-Fi'}	TV	22	8.43	859914	https://cdn.myanimelist.net/images/anime/5/43399.jpg	{}	False
25777	Shingeki no Kyojin Season 2	Spring 2017	{'Action', 'Drama', 'Fantasy', 'Military', 'Mystery', 'Shounen', 'Super Power'}	TV	12	8.43	818511	https://cdn.myanimelist.net/images/anime/4/84177.jpg	{16498}	False
